",""x""";Species_Name;Family;Subfamily;Tribe;Genus;Species;Antennae;Antennomere_I;Antennomere_II;Antennomere_III;Sum;Reference;
"109,""Anoplocnemis_sp_CMF_0020""";Anoplocnemis_sp.1;Coreidae;Coreinae;Mictini;Anoplocnemis;sp.1;0;0;0;0;0;NA;
"11,""Physomerus_grossipes_CMF_0175""";Physomerus_grossipes;Coreidae;Coreinae;Acanthocorini;Physomerus;grossipes;1;1;1;1;3;https://www.inaturalist.org/observations/214886894;
"110,""Anoplocnemis_sp_CMF_0052""";Anoplocnemis_sp.2;Coreidae;Coreinae;Mictini;Anoplocnemis;sp.2;0;0;0;0;0;NA;
"111,""Elasmopoda_sp_CMF_0333""";Elasmopoda_alata;Coreidae;Coreinae;Mictini;Elasmopoda;alata;1;1;1;1;3;https://www.inaturalist.org/observations/125972198;
"112,""Elasmopoda_alata_CMF_0675""";Elasmopoda_sp.;Coreidae;Coreinae;Mictini;Elasmopoda;sp.;0;0;0;0;0;NA;
"113,""Plectropoda_cruciata_CMF_0037""";Plectropoda_cruciata;Coreidae;Coreinae;Mictini;Plectropoda;cruciata;1;1;1;1;3;https://www.biodiversitylibrary.org/item/60304#page/431/mode/1up;
"114,""Plectropoda_sp_CMF_0022""";Plectropoda_sp.;Coreidae;Coreinae;Mictini;Plectropoda;sp.;0;0;0;0;0;NA;
"115,""Mygdonia_tuberculosa_CMF_0053""";Mygdonia_tuberculosa;Coreidae;Coreinae;Mictini;Mygdonia;tuberculosa;1;1;1;1;3;https://www.inaturalist.org/observations/36440639;
"116,""Plectropodoides_dallastai_CMF_0854""";Plectropodoides_dallastai;Coreidae;Coreinae;Mictini;Plectropodoides;dallastai;0;0;0;0;0;NA;
"117,""Dianomictis_expansa_CMF_0684""";Dianomictis_expansa;Coreidae;Coreinae;Mictini;Dianomictis;expansa;1;1;1;1;3;https://www.inaturalist.org/observations/45583314;
"118,""Molipteryx_lunata_CMF_0818""";Molipteryx_lunata;Coreidae;Coreinae;Mictini;Molipteryx;lunata;1;1;1;1;3;https://www.inaturalist.org/observations/183093325;
"119,""Prionolomia_yunnanensis_CMF_0554""";Prionolomia_yunnanensis;Coreidae;Coreinae;Mictini;Prionolomia;yunnanensis;1;1;1;1;3;https://www.inaturalist.org/observations/265431374;
"12,""Rhyticoris_terminalis_CMF_0702""";Rhyticoris_terminalis;Coreidae;Coreinae;Acanthocorini;Rhyticoris;terminalis;1;1;1;1;3;https://www.inaturalist.org/observations/99376642;
