Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,oppositus,1,0,0,https://www.inaturalist.org/observations/185352058,https://www.inaturalist.org/observations/204134049,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,phyllopus,1,0,0,https://www.inaturalist.org/observations/185506193,https://www.inaturalist.org/observations/134894611,,
Coreidae,Coreinae,Anisoscelini,Leptoglossus,zonatus,1,0,0,https://www.inaturalist.org/observations/178198289,https://www.inaturalist.org/observations/68434599,,
Coreidae,Coreinae,Anisoscelini,Leptoscelis,quadrisignatus,1,0,NA,https://www.inaturalist.org/observations/155244365,,,
Coreidae,Coreinae,Anisoscelini,Leptoscelis,tricolor,1,0,0,https://www.inaturalist.org/observations/187320523,https://www.inaturalist.org/observations/150945458,,
Coreidae,Coreinae,Anisoscelini,Narnia,femorata,1,0,0,https://www.inaturalist.org/observations/163852411,https://www.inaturalist.org/observations/118112200,,
Coreidae,Coreinae,Anisoscelini,Narnia,snowi,1,0,0,https://www.inaturalist.org/observations/152049539,https://www.inaturalist.org/observations/108458765,,
Coreidae,Coreinae,Anisoscelini,Phthiacnemia,picta,1,0,0,https://www.inaturalist.org/observations/213453696,https://www.inaturalist.org/observations/211824607,,
Coreidae,Coreinae,Chariesterini,Chariesterus,armatus,0,1,0,https://www.inaturalist.org/observations/11031578,https://www.inaturalist.org/observations/207492987,,
Coreidae,Coreinae,Chariesterini,Chariesterus,antennator,0,1,0,https://www.inaturalist.org/observations/101158849,https://www.inaturalist.org/observations/136514648,,
Coreidae,Coreinae,Chariesterini,Plapigus,abdominalis,0,1,NA,https://www.biodiversitylibrary.org/item/60304#page/545/mode/1up,,,
,,,Plapigus,,0,1,0,https://www.inaturalist.org/observations/108207906,,,
Coreidae,Coreinae,Chelinideini,Chelinidea,tabulata,0,1,0,https://www.inaturalist.org/observations/157775874,https://www.inaturalist.org/observations/207401608,,
Coreidae,Coreinae,Chelinideini,Chelinidea,vittiger,0,1,0,https://www.inaturalist.org/observations/200576794,https://www.inaturalist.org/observations/83337417,,
Coreidae,Coreinae,Cloresmini,Cloresmus,antennatus,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187825&ImageID=180366,,,
Coreidae,Coreinae,Cloresmini,Cloresmus,sp.,1,0,0,https://www.inaturalist.org/observations/132163423,https://www.inaturalist.org/observations/132163424,,
Coreidae,Coreinae,Cloresmini,Notobitus,affinis,1,0,0,https://www.inaturalist.org/observations/187762067,,,
Coreidae,Coreinae,Cloresmini,Notobitus,meleagris,1,0,0,https://www.inaturalist.org/observations/8477376,https://www.inaturalist.org/observations/96847060,,
Coreidae,Coreinae,Cloresmini,Notobitus,sexguttatus,1,0,NA,https://www.inaturalist.org/observations/94672226,,,
Coreidae,Coreinae,Colpurini,Homalocolpura,parrilloi,NA,NA,NA,,,,
Coreidae,Coreinae,Colpurini,Hygia,sp.,1,0,0,https://www.inaturalist.org/observations/205058722,https://www.inaturalist.org/observations/149390405,,
Coreidae,Coreinae,Colpurini,Typhlocolpura,chinai,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187889&ImageID=180488,,,
